id,title,genres,overview,poster_path
47876,Little Miss Marker,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]","Sorrowful Jones is a cheap bookie in 1930's. When a gambler leaves his daughter as a marker for a bet, he gets stuck with her. His life will change a great deal with her arrival and his sudden love for a woman also involved in gambling operations.",/8wtpxQ08YvoaTzFIn9KB17tAKhF.jpg
286987,How to Build a Better Boy,"[{'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]","Mae and Gabby are two friends who go everywhere together but they are not very popular in their school. Their classmates always pressure because they have not had a boyfriend so to avoid further setbacks, the girls put in place a plan to create the perfect boyfriend. Both believe that it will be easy to create their perfect guy using the military team building; machinery owned by the father of Mae, the machine works through a wireless keyboard. The machine can create with their settings, a robotic soldier. Of this plan was born Albert an ideal guy to be a perfect boyfriend. He will be the most popular boy of the school.",/iQwno3tB1MFrfLAqafZ8i9Mx05v.jpg
339739,Henry Gamble's Birthday Party,"[{'id': 18, 'name': 'Drama'}]","Henry Gamble's Birthday Party takes place over 24 hours at the birthday pool party of 17-year-old preacher's kid Henry Gamble. The party guests include adults and teenagers from his church, as well as Henry's ""secular"" friends, including the closeted young Logan, who has eyes for Henry.",/ec4qO8tgHnCqEvjXzoScWLEJExO.jpg
19637,Chup Chup Ke,"[{'id': 35, 'name': 'Comedy'}]","A debt-ridden young man Jeetu (Shahid Kapoor) decides to commit suicide to allow his father to collect insurance money. Unfortunately, he is rescued by two fishermen, Gundya (Paresh Rawal) and Bandya (Rajpal Yadav). Gundya owes money to a Gujarati businessman, Prabhat Singh Chauhan (Om Puri) and he hatches a scheme to exchange Jeetu for the money he owes. Jeetu does not want to reveal his impoverished state, and therefore pretends to be mute and deaf. A hilarious sequence of events follows...",/5GVPBrzJSusXuJfUdj106LuZKKM.jpg
457307,"Don't call him ""Dimon""","[{'id': 9648, 'name': 'Mystery'}, {'id': 99, 'name': 'Documentary'}]",,/kI9NRfC9CdPmL7YzE3czdClKRmA.jpg
28485,Satan's Blood,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","Andy and Thelma, an urbanite couple living in Madrid, leave their apartment for a pleasant day around the city with their dog. They cross paths with Bruno and Anne, a strange couple who invite them to their foreboding country estate. A storm hits that evening and the two stay overnight. The couples engage in a bit of harmless communication with spirits via ouija board, but soon past conflicts arise Thelma had an affair with Andy's brother, and Anne criticizes Bruno over his attempted suicide. This is only the beginning of all the horrors that will haunt them in the house.",/pWUWbK2tnnCvenM9D9IbaplRxgr.jpg
339934,Steve McQueen: The Man & Le Mans,"[{'id': 99, 'name': 'Documentary'}]",Steve McQueen: The Man &amp; Le Mans interweaves stunning newly discovered footage and voice recordings with original interviews. It is the true story of how a cinema legend would risk almost everything in pursuit of his dream.,/nSu9ta4WiMnscFsM7Iv4FBAXgN4.jpg
218296,The Secret Life of Plants,"[{'id': 10751, 'name': 'Family'}, {'id': 99, 'name': 'Documentary'}]","The story is a documentary of research that shows fairly conclusively that plants are actually aware of what goes on around them, even miles away. It is somewhat humorous in the methods it uses to prove the secret life of plants, but thought-provoking in the conclusions it arrives at. The most wonderful thing about the film is the soundtrack. This is original music composed by Stevie Wonder. There is even a scene in the film of Stevie singing one of his songs in a boat on a river. This scene is very moving, as Stevie is blind and yet able to know where he is going. The scene is the climax to the movie, and metaphoric as to what has been presented about plants, that although they don't seem to have senses as human beings and animals do, they are quite well aware of what is going on around them and where they fit into this in the evolutionary process.",/uj7EYLJuiuUs3KbovzZy27OrzVA.jpg
41945,The Rainbow,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","Ken Russell's rather loose adaptation of the last part of D.H. Lawrence's ""The Rainbow"" sees impulsive young Ursula coming of age in pastoral England around the time of the Boer War. At school, she is introduced to lovemaking by a bisexual physical education instructress. While experiencing disillusionment in her first career attempt (teaching), she has an affair with a young Army officer, who wants to marry her. Unable to accept a future of domesticity, she breaks with him, and eventually leaves home in search of her destiny.",/7M9QXpsTXI7BrdckxOTbxLq6FOI.jpg
10249,The Rocketeer,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]","Straight from the pages of a pulp comic from a past era, the Rocketeer recreates 1930s Hollywood, complete with gangsters, Nazi spies, and the growth of the Age of Aviation. Young pilot Cliff Secord stumbles on a top secret rocket-pack and with the help of his mechanic/mentor, Peevy, he attempts to save his girl and stop the Nazis as The Rocketeer.",/tFOoAfyznMdCRJIvX3vDOpr3MCg.jpg
